STATE_CODE,STATE_NAME,CITY,LATITUDE,LONGITUDE
AK,Alaska,Marshall,61.837087,-161.7394
AK,Alaska,"Mc Grath",62.967153,-155.585153
AK,Alaska,Mekoryuk,60.365679,-166.283583
AK,Alaska,Metlakatla,55.121491,-131.579001
AK,Alaska,"Meyers Chuck",55.741667,-132.253333
AK,Alaska,Minto,65.058399,-149.691186
AK,Alaska,"Moose Pass",60.85852,-149.255911
AK,Alaska,"Mountain Village",62.158913,-163.883822
AK,Alaska,Naknek,58.885699,-156.705405
AK,Alaska,Napakiak,60.663758,-161.738144
AK,Alaska,Nenana,64.557656,-149.086744
AK,Alaska,"New Stuyahok",59.593533,-157.297205
AK,Alaska,Nightmute,60.479444,-164.723889
AK,Alaska,Nikiski,60.690278,-151.288889
AK,Alaska,Nikolai,63.001603,-154.381247
AK,Alaska,Nikolski,52.988337,-168.788427
AK,Alaska,Ninilchik,60.010833,-151.639604
AK,Alaska,Noatak,66.97553,-160.509453
AK,Alaska,Nome,64.505775,-165.310667
AK,Alaska,Nondalton,60.030837,-154.731675
AK,Alaska,Noorvik,66.836353,-161.044132
AK,Alaska,"North Pole",64.78049,-147.369353
AK,Alaska,Northway,62.964167,-141.908611
AK,Alaska,Nuiqsut,70.192737,-150.997119
AK,Alaska,Nulato,64.778024,-157.991353
AK,Alaska,"Nunam Iqua",62.509167,-164.453333
AK,Alaska,Nunapitchuk,60.896944,-162.459444
AK,Alaska,"Old Harbor",57.202778,-153.303889
AK,Alaska,Ouzinkie,57.925,-152.491667
AK,Alaska,Palmer,61.613814,-149.065323
AK,Alaska,"Pedro Bay",59.92238,-153.821856
AK,Alaska,Pelican,57.960833,-136.2275
AK,Alaska,Perryville,55.945289,-159.259333
AK,Alaska,Petersburg,56.827134,-133.160683
AK,Alaska,"Pilot Point",57.595193,-157.449272
AK,Alaska,"Pilot Station",61.946159,-162.874716
AK,Alaska,Platinum,58.63364,-162.043201
AK,Alaska,"Point Baker",56.307858,-133.376372
AK,Alaska,"Point Hope",68.312058,-166.72618
AK,Alaska,"Point Lay",69.705626,-162.906148
AK,Alaska,"Port Alexander",57.05,-135.333333
AK,Alaska,"Port Alsworth",60.636416,-154.433803
AK,Alaska,"Port Heiden",56.964333,-158.566367
AK,Alaska,"Port Lions",57.866667,-152.883333
AK,Alaska,"Prudhoe Bay",70.070057,-148.559636
AK,Alaska,Quinhagak,59.738057,-161.874938
AK,Alaska,Rampart,65.383627,-150.011201
AK,Alaska,"Red Devil",61.735389,-157.195969
AK,Alaska,Ruby,64.720062,-155.503872
AK,Alaska,"Russian Mission",61.591302,-161.558413
AK,Alaska,"Saint George Island",56.60324,-169.547257
AK,Alaska,"Saint Marys",62.054106,-163.205263
AK,Alaska,"Saint Michael",63.47759,-162.109141
AK,Alaska,"Saint Paul Island",57.178697,-170.293408
AK,Alaska,Salcha,64.50905,-146.952974
AK,Alaska,"Sand Point",55.319236,-160.491435
AK,Alaska,Savoonga,63.679737,-170.470908
AK,Alaska,"Scammon Bay",61.845019,-165.581945
AK,Alaska,Selawik,65.713537,-158.534287
AK,Alaska,Seldovia,59.436667,-151.708333
AK,Alaska,Seward,60.132874,-149.39849
AK,Alaska,Shageluk,62.661092,-159.52816
AK,Alaska,Shaktoolik,64.375498,-161.174589
AK,Alaska,Shishmaref,66.230562,-166.137276
AK,Alaska,Shungnak,66.958141,-157.613496
AK,Alaska,Sitka,57.051436,-135.316569
AK,Alaska,Skagway,59.468471,-135.301794
AK,Alaska,Skwentna,61.958333,-151.181667
AK,Alaska,Sleetmute,61.634555,-157.118284
AK,Alaska,Soldotna,60.481778,-151.13582
AK,Alaska,"South Naknek",58.736221,-156.850289
AK,Alaska,Stebbins,63.478468,-162.227355
AK,Alaska,Sterling,60.520373,-150.849792
AK,Alaska,"Stevens Village",65.995894,-149.118286
AK,Alaska,Sutton,61.796667,-148.462778
AK,Alaska,Takotna,62.948889,-155.566389
AK,Alaska,Talkeetna,62.260516,-150.110097
AK,Alaska,Tanacross,63.385278,-143.346389
AK,Alaska,Tanana,65.156483,-152.103747
AK,Alaska,Tatitlek,60.864722,-146.678611
AK,Alaska,Teller,65.240164,-166.3833
AK,Alaska,"Tenakee Springs",57.78,-135.216667
AK,Alaska,"Thorne Bay",55.66086,-132.513815
AK,Alaska,Togiak,59.066667,-160.4
AK,Alaska,Tok,63.333333,-142.983333
AK,Alaska,"Toksook Bay",60.537,-165.097
AK,Alaska,"Trapper Creek",61.441361,-150.284455
AK,Alaska,Tuluksak,61.108848,-160.938924
AK,Alaska,Tuntutuliak,60.8438,-161.6372
AK,Alaska,Tununak,60.539322,-165.097464
AK,Alaska,"Two Rivers",64.871944,-147.038056
AK,Alaska,Tyonek,61.117929,-151.348495
AK,Alaska,Unalakleet,63.883478,-160.788365
AK,Alaska,Unalaska,53.887114,-166.519855
AK,Alaska,Valdez,60.895044,-146.195628
AK,Alaska,Venetie,67.010446,-146.413723
AK,Alaska,Wainwright,70.620064,-160.012532
AK,Alaska,Wales,65.688212,-168.520521
AK,Alaska,"Ward Cove",55.408333,-131.725
AK,Alaska,Wasilla,61.5814,-149.4394
AK,Alaska,"White Mountain",64.702791,-163.42185
AK,Alaska,Whittier,60.775,-148.683333
AK,Alaska,Willow,61.771511,-150.188891
AK,Alaska,Wrangell,56.433524,-132.352918
AK,Alaska,Yakutat,59.620211,-139.778858
AL,Alabama,Abbeville,31.575479,-85.279044
AL,Alabama,Abernant,33.290278,-87.198056
AL,Alabama,Adamsville,33.588437,-86.959727
AL,Alabama,Addison,34.205571,-87.194766
AL,Alabama,Adger,33.434277,-87.167455
AL,Alabama,Akron,32.872354,-87.708558
AL,Alabama,Alabaster,33.236868,-86.812861
AL,Alabama,Alberta,32.144889,-87.342503
AL,Alabama,Albertville,34.273859,-86.206447
AL,Alabama,"Alexander City",32.941445,-85.951086
AL,Alabama,Alexandria,33.780785,-85.892447
AL,Alabama,Aliceville,33.122813,-88.166689
AL,Alabama,Allgood,33.911944,-86.509444
AL,Alabama,Alma,31.463889,-87.753889
AL,Alabama,Alpine,33.331165,-86.208934
AL,Alabama,Alton,33.579167,-86.6375
AL,Alabama,Altoona,34.042916,-86.350879
AL,Alabama,Andalusia,31.297142,-86.490468
AL,Alabama,Anderson,34.951777,-87.272327
AL,Alabama,Annemanie,32.052778,-87.570833
AL,Alabama,Anniston,33.653896,-85.838152
AL,Alabama,Arab,34.328339,-86.489638
AL,Alabama,Ardmore,34.980447,-86.834612
AL,Alabama,Ariton,31.582996,-85.707716
AL,Alabama,Arley,34.063234,-87.182761
AL,Alabama,Arlington,32.066784,-87.559691
AL,Alabama,Ashford,31.1888,-85.253488
AL,Alabama,Ashland,33.247363,-85.828976
AL,Alabama,Ashville,33.837366,-86.255167
AL,Alabama,Athens,34.803604,-86.970733
AL,Alabama,Atmore,31.057245,-87.487347
AL,Alabama,Attalla,34.029597,-86.096717
AL,Alabama,Auburn,32.602043,-85.489001
AL,Alabama,"Auburn University",32.601,-85.4882
AL,Alabama,Autaugaville,32.462462,-86.714938
AL,Alabama,Axis,31.006817,-88.04274
AL,Alabama,Baileyton,34.268298,-86.621299
AL,Alabama,Banks,31.836792,-85.799844
AL,Alabama,Bankston,33.70083,-87.68965
AL,Alabama,"Bay Minette",30.86354,-87.76444
AL,Alabama,"Bayou La Batre",30.407983,-88.250697
AL,Alabama,"Bear Creek",34.213469,-87.686083
AL,Alabama,Beatrice,31.727324,-87.171912
AL,Alabama,Beaverton,33.942877,-88.01567
AL,Alabama,Belk,33.6475,-87.931389
AL,Alabama,Bellamy,32.448889,-88.133611
AL,Alabama,"Belle Mina",34.656667,-86.879167
AL,Alabama,Bellwood,31.173056,-85.793333
AL,Alabama,Berry,33.694485,-87.622563
AL,Alabama,Bessemer,33.409002,-86.947547
AL,Alabama,Billingsley,32.610578,-86.716301
AL,Alabama,Birmingham,33.519,-86.8014
AL,Alabama,Birmingham,33.401559,-86.705511
AL,Alabama,Black,31.01318,-85.745634
AL,Alabama,Blountsville,34.092937,-86.568628
AL,Alabama,Boaz,34.173889,-86.121111
AL,Alabama,Boaz,34.173686,-86.148003
AL,Alabama,Boligee,32.774646,-88.026652
AL,Alabama,"Bon Air",33.263611,-86.335556
AL,Alabama,"Bon Secour",30.328883,-87.721355
AL,Alabama,Booth,32.500278,-86.571944
AL,Alabama,Boykin,32.077778,-87.281389
AL,Alabama,Brantley,31.570963,-86.274343
AL,Alabama,Bremen,33.973664,-87.004281
AL,Alabama,Brent,32.93567,-87.211387
AL,Alabama,Brewton,31.118926,-87.067325
AL,Alabama,Bridgeport,34.944638,-85.727681
AL,Alabama,Brierfield,33.042747,-86.951672
AL,Alabama,Brilliant,34.037702,-87.756315
AL,Alabama,Brooklyn,31.2625,-86.771111
AL,Alabama,Brookside,33.637778,-86.916667
AL,Alabama,Brookwood,33.277523,-87.309025
AL,Alabama,Brownsboro,34.716733,-86.468703
AL,Alabama,Brundidge,31.701324,-85.817668
AL,Alabama,Bryant,34.945026,-85.632445
AL,Alabama,Bucks,31.010278,-88.024167
AL,Alabama,Buhl,33.249448,-87.718886
AL,Alabama,"Burnt Corn",31.458009,-86.925771
AL,Alabama,Burnwell,33.707778,-87.0875
AL,Alabama,Butler,32.082906,-88.206391
AL,Alabama,Bynum,33.613056,-85.961111
AL,Alabama,Calera,33.1098,-86.755987
AL,Alabama,Calvert,31.160556,-88.031111
AL,Alabama,Camden,32.004732,-87.295049
AL,Alabama,"Camp Hill",32.782749,-85.64738
AL,Alabama,Campbell,31.963512,-88.006072
AL,Alabama,Capshaw,34.773056,-86.792778
AL,Alabama,"Carbon Hill",33.909252,-87.540328
AL,Alabama,Cardiff,33.645556,-86.933611
AL,Alabama,Carlton,31.322449,-87.837793
AL,Alabama,Carrollton,33.248506,-88.132122
AL,Alabama,Castleberry,31.326113,-87.026754
AL,Alabama,Catherine,32.182,-87.483623
AL,Alabama,Cecil,32.300891,-86.011241
AL,Alabama,"Cedar Bluff",34.241662,-85.602567
AL,Alabama,Centre,34.111592,-85.609229
AL,Alabama,Centreville,32.950324,-87.11924
AL,Alabama,Chancellor,31.173379,-85.910897
AL,Alabama,Chapman,31.671111,-86.712222
AL,Alabama,Chatom,31.487638,-88.269887
AL,Alabama,Chelsea,33.371582,-86.614132
AL,Alabama,Cherokee,34.744188,-87.972445
AL,Alabama,Childersburg,33.266928,-86.337622
AL,Alabama,Choccolocco,33.659167,-85.703611
AL,Alabama,Chunchula,30.991178,-88.131126
AL,Alabama,Citronelle,31.042533,-88.254949
AL,Alabama,Clanton,32.835532,-86.642472
AL,Alabama,Clay,33.7025,-86.599722
AL,Alabama,Clayton,31.887413,-85.450932
AL,Alabama,Cleveland,33.992106,-86.559355
AL,Alabama,Clinton,32.913611,-87.9925
AL,Alabama,Clio,31.68521,-85.590419
AL,Alabama,Clopton,31.602843,-85.482308
AL,Alabama,Cloverdale,34.938611,-87.771389
AL,Alabama,Coaling,33.158889,-87.340833
AL,Alabama,Coden,30.418834,-88.168276
AL,Alabama,"Coffee Springs",31.138758,-85.918224
AL,Alabama,Coffeeville,31.78428,-88.071542
AL,Alabama,Coker,33.252612,-87.636528
AL,Alabama,Collinsville,34.267957,-85.861969
AL,Alabama,Columbia,31.335235,-85.145488
AL,Alabama,Columbiana,33.176964,-86.616145
AL,Alabama,"Cook Springs",33.589722,-86.361944
AL,Alabama,Coosada,32.496667,-86.331667
AL,Alabama,Cordova,33.768033,-87.18406
AL,Alabama,Cottondale,33.176667,-87.387051
AL,Alabama,Cottonton,32.146667,-85.073889
AL,Alabama,Cottonwood,31.098934,-85.375665
AL,Alabama,Courtland,34.671866,-87.314255
AL,Alabama,Cowarts,31.2,-85.304722
AL,Alabama,Coy,31.888851,-87.392558
AL,Alabama,Cragford,33.217148,-85.710797
AL,Alabama,"Crane Hill",34.082117,-87.048395
AL,Alabama,Creola,30.901267,-88.017414
AL,Alabama,Cropwell,33.506448,-86.280026
AL,Alabama,Crossville,34.258784,-86.030575
AL,Alabama,Cuba,32.410973,-88.361083
AL,Alabama,Cullman,34.176146,-86.829777
AL,Alabama,Cusseta,32.803194,-85.215791
AL,Alabama,Dadeville,32.82239,-85.770395
AL,Alabama,Daleville,31.281091,-85.730473
AL,Alabama,Danville,34.452189,-87.053187
AL,Alabama,Daphne,30.61972,-87.889522
AL,Alabama,"Dauphin Island",30.252057,-88.109644
AL,Alabama,Daviston,33.033471,-85.753831
